Nutrient1,Nutrient2,Value
"Fatty acids, total polyunsaturated 20:3 undifferentiated (g)",Hydroxyproline (g),0.017076509005367824
Menaquinone-4 (g),"Folate, food (g)",0.017051831122421642
"Fatty acids, total saturated 20:1 (g)","Vitamin C, total ascorbic acid (mg)",0.01704482819564779
"Vitamin B-12, added (g)","Folate, DFE (g)",0.01703910648782679
"Fatty acids, total saturated 22:6 n-3 (DHA) (g)","Carbohydrate, by difference (g)",0.017019935887629515
"Fatty acids, total polyunsaturated 22:1 c (g)","Fatty acids, total saturated 4:0 (g)",0.017014059585054357
"Carotene, beta (g)","Sodium, Na (mg)",0.016983191990930582
"Fatty acids, total polyunsaturated 16:1 t (g)",Lycopene (g),0.016964929558216078
Tryptophan (g),"Fatty acids, total saturated 18:4 (g)",0.016950230511837888
Betaine (mg),Beta-sitosterol (mg),0.016938042350030116
"Fatty acids, total saturated 22:5 n-3 (DPA) (g)",Ash (g),0.016910071222111866
Ash (g),"Fatty acids, total trans-polyenoic 20:4 n-6 (g)",0.016895210307602476
Energy (kJ),Dihydrophylloquinone (g),0.016889755959738215
Energy (kcal),Dihydrophylloquinone (g),0.01688315424692195
"Tocopherol, beta (mg)","Fatty acids, total polyunsaturated 16:1 c (g)",0.016870546058008012
"Fatty acids, total polyunsaturated 22:1 t (g)",Dihydrophylloquinone (g),0.016843108213117616
"Fatty acids, total saturated 14:0 (g)",Beta-sitosterol (mg),0.01681975959972379
"Fatty acids, total saturated 8:0 (g)","Carotene, alpha (g)",0.01681434104477612
"Fatty acids, total polyunsaturated 22:1 t (g)","Potassium, K (mg)",0.016779386650431414
"Fatty acids, total saturated 10:0 (g)",Beta-sitosterol (mg),0.0167789846552027
"Fatty acids, total saturated 10:0 (g)",Starch (g),0.01677679282535674
"Fatty acids, total polyunsaturated 18:2 t,t (g)","Iron, Fe (mg)",0.016769388758312073
Energy (kJ),"Fatty acids, total polyunsaturated 18:2 i (g)",0.016766239532685738
"Fatty acids, total saturated 18:4 (g)",Phenylalanine (g),0.016759252282073537
"Fatty acids, total polyunsaturated 18:2 i (g)",Energy (kcal),0.016750544787847172
"Manganese, Mn (mg)","Sodium, Na (mg)",0.016741659267166104
"Fatty acids, total polyunsaturated 24:1 c (g)",Hydroxyproline (g),0.016709597361664132
Sucrose (g),"Fatty acids, total trans-polyenoic 18:3 n-3 c,c,c (ALA) (g)",0.016702895694360016
"Tocotrienol, beta (mg)",Retinol (g),0.016678859069484884
"Fatty acids, total polyunsaturated 18:2 n-6 c,c (g)","Fatty acids, total saturated 10:0 (g)",0.01667219161557903
"Fatty acids, total polyunsaturated 17:0 (g)","Fatty acids, total saturated 22:5 n-3 (DPA) (g)",0.016656661454377227
Methionine (g),"Fatty acids, total saturated 18:4 (g)",0.01664517054959464
"Fatty acids, total polyunsaturated 15:0 (g)","Fatty acids, total saturated 22:5 n-3 (DPA) (g)",0.016645083085811245
Phytosterols (mg),"Fatty acids, total polyunsaturated 24:1 c (g)",0.016625829905071186
"Vitamin B-12, added (g)","Fatty acids, total saturated 20:0 (g)",0.01661836865829903
"Fatty acids, total saturated 14:1 (g)","Tocopherol, delta (mg)",0.016606156861942386
"Fatty acids, total polyunsaturated 24:1 c (g)","Vitamin A, RAE (g)",0.016603418297713616
"Fatty acids, total saturated 22:0 (g)","Manganese, Mn (mg)",0.016583072430628402
"Fatty acids, total saturated 20:5 n-3 (EPA) (g)","Carbohydrate, by difference (g)",0.016571461150022317
"Tocopherol, delta (mg)","Fatty acids, total saturated 6:0 (g)",0.016566460340162
Leucine (g),"Fatty acids, total saturated 18:4 (g)",0.016544617770819545
"Fatty acids, total polyunsaturated 15:0 (g)",Sucrose (g),0.016509193686322324
Campesterol (mg),"Fatty acids, total saturated 18:0 (g)",0.01646233484925424
"Fatty acids, total saturated 22:1 undifferentiated (g)","Copper, Cu (mg)",0.016453080390650087
Dihydrophylloquinone (g),"Potassium, K (mg)",0.016451416828221578
Sucrose (g),Retinol (g),0.016433009494028764
Phenylalanine (g),Dihydrophylloquinone (g),0.016415832285430608
"Fatty acids, total saturated 20:0 (g)","Sodium, Na (mg)",0.016382077872562843
"Tocotrienol, beta (mg)","Sodium, Na (mg)",0.016379575078681385
Ash (g),"Fatty acids, total trans-polyenoic 18:1-11 t (18:1t n-7) (g)",0.016353408538135817
"Fatty acids, total saturated 18:4 (g)",Alanine (g),0.01635141978706851
Vitamin D (IU),"Tocotrienol, beta (mg)",0.016338172576093404
"Fatty acids, total polyunsaturated 16:1 c (g)","Fatty acids, total trans-polyenoic 18:1-11 t (18:1t n-7) (g)",0.016304126452474924
"Fatty acids, total saturated 18:3 undifferentiated (g)","Fatty acids, total trans-polyenoic 15:1 (g)",0.016292118118785358
Betaine (mg),"Tocotrienol, beta (mg)",0.016291965784613286
"Fatty acids, total trans-polyenoic 20:4 n-6 (g)",Lycopene (g),0.016287754201912346
"Fatty acids, total saturated 20:5 n-3 (EPA) (g)",Pantothenic acid (mg),0.016282003358692135
"Vitamin B-12, added (g)","Zinc, Zn (mg)",0.016280060323869593
"Fatty acids, total polyunsaturated 22:1 t (g)","Iron, Fe (mg)",0.016271431259039123
"Fatty acids, total trans-polyenoic 13:0 (g)","Fatty acids, total trans-monoenoic (g)",0.01625852805550567
"Sodium, Na (mg)","Fatty acids, total saturated 22:0 (g)",0.016251987978209554
Fructose (g),"Fatty acids, total polyunsaturated 20:2 n-6 c,c (g)",0.016232309577814585
"Calcium, Ca (mg)","Fatty acids, total saturated 22:6 n-3 (DHA) (g)",0.016217848789386695
"Carotene, beta (g)","Fatty acids, total polyunsaturated 17:0 (g)",0.016202264691313507
"Cryptoxanthin, beta (g)","Fatty acids, total saturated 12:0 (g)",0.016197066271676552
Valine (g),"Fatty acids, total saturated 18:4 (g)",0.01617827797138645
"Fatty acids, total saturated 18:4 (g)",Niacin (mg),0.016157319059801074
Glucose (dextrose) (g),"Fatty acids, total trans-polyenoic 20:3 n-6 (g)",0.01615523565136106
"Sodium, Na (mg)","Fatty acids, total polyunsaturated 18:2 t not further defined (g)",0.01615321346670202
"Fatty acids, total trans-polyenoic 18:3i (g)","Tocopherol, delta (mg)",0.016148779074916
"Sodium, Na (mg)","Fatty acids, total trans-polyenoic (g)",0.016144641089547124
"Fatty acids, total trans-monoenoic (g)","Tocotrienol, delta (mg)",0.01613330299005672
"Fatty acids, total polyunsaturated 16:1 t (g)",Fructose (g),0.0161162252282448
"Fatty acids, total saturated 12:0 (g)","Fatty acids, total saturated 20:1 (g)",0.016115919417146074
"Cryptoxanthin, beta (g)","Fatty acids, total saturated 22:0 (g)",0.01610148109522861
"Fatty acids, total polyunsaturated 24:0 (g)","Sugars, total (g)",0.016100988719650634
"Fatty acids, total polyunsaturated 15:0 (g)","Cryptoxanthin, beta (g)",0.0160989872919725
"Tocotrienol, beta (mg)","Sugars, total (g)",0.01605950233809416
"Fatty acids, total saturated 8:0 (g)","Vitamin A, RAE (g)",0.016041598041031564
"Fatty acids, total saturated 12:0 (g)","Fatty acids, total polyunsaturated 18:1 c (g)",0.01600416450534041
Tyrosine (g),"Fatty acids, total saturated 18:4 (g)",0.01599672573185126
"Zinc, Zn (mg)",Galactose (g),0.015987651774008838
Starch (g),"Fatty acids, total saturated 20:1 (g)",0.01597623882739555
Beta-sitosterol (mg),Maltose (g),0.015963376536781974
Proline (g),Dihydrophylloquinone (g),0.015939754511739256
Retinol (g),"Fatty acids, total polyunsaturated 24:1 c (g)",0.015922458780205633
"Fatty acids, total trans-polyenoic 18:3i (g)","Fatty acids, total polyunsaturated 22:1 c (g)",0.015908496437818952
Vitamin K (phylloquinone) (g),"Fatty acids, total polyunsaturated 17:1 (g)",0.015863370573557335
"Fatty acids, total saturated 22:5 n-3 (DPA) (g)",Vitamin D3 (cholecalciferol) (g),0.015842053340754524
"Fatty acids, total trans-polyenoic 15:1 (g)","Fatty acids, total saturated 22:5 n-3 (DPA) (g)",0.01581793930406494
"Sodium, Na (mg)","Fatty acids, total saturated 10:0 (g)",0.015814830219180905
Betaine (mg),"Sodium, Na (mg)",0.01580212339053079
Threonine (g),"Fatty acids, total saturated 18:4 (g)",0.015781098452554865
"Cryptoxanthin, beta (g)","Fatty acids, total trans-monoenoic (g)",0.015778387004845625
"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated 18:2 t,t (g)",0.015774913787384135
"Fatty acids, total saturated 8:0 (g)","Fatty acids, total polyunsaturated 20:2 n-6 c,c (g)",0.015758133366478633
"Vitamin B-12, added (g)","Selenium, Se (g)",0.015729443391973703
"Fatty acids, total saturated 20:1 (g)",Hydroxyproline (g),0.015721242718136994
Thiamin (mg),"Fatty acids, total polyunsaturated 18:2 t,t (g)",0.015712091491971836
"Fatty acids, total saturated 18:3 undifferentiated (g)","Tocotrienol, delta (mg)",0.01571105115522892
"Fiber, total dietary (g)",Hydroxyproline (g),0.015708031169885936
"Fatty acids, total polyunsaturated 16:1 c (g)",Starch (g),0.015706064724610204
"Folate, DFE (g)","Fatty acids, total saturated 22:5 n-3 (DPA) (g)",0.015703668046346705
Vitamin E (alpha-tocopherol) (mg),"Fatty acids, total saturated 22:6 n-3 (DHA) (g)",0.015658447668199026
Isoleucine (g),"Fatty acids, total saturated 18:4 (g)",0.01563091637293429
"Fatty acids, total saturated 18:3 undifferentiated (g)","Carotene, alpha (g)",0.015620151413034274
"Cryptoxanthin, beta (g)",Ash (g),0.015616791465149191
"Fatty acids, total saturated 18:4 (g)",Aspartic acid (g),0.015600196252871722
"Fatty acids, total trans-polyenoic 18:1-11 t (18:1t n-7) (g)","Tocopherol, beta (mg)",0.01559918752044139
"Fatty acids, total trans-polyenoic 18:3i (g)",Lactose (g),0.015591606720321482
"Manganese, Mn (mg)","Fatty acids, total saturated 20:1 (g)",0.015572226064467305
Campesterol (mg),Ash (g),0.015548995916654639
"Fatty acids, total polyunsaturated 20:3 undifferentiated (g)","Vitamin C, total ascorbic acid (mg)",0.015538198729309149
"Fatty acids, total polyunsaturated 18:3 n-6 c,c,c (g)",Lactose (g),0.015515912156495624
"Fatty acids, total trans-polyenoic 13:0 (g)",Aspartic acid (g),0.015509402008158965
Stigmasterol (mg),Water (g),0.01550669153660201
"Fatty acids, total saturated 18:0 (g)","Cryptoxanthin, beta (g)",0.015472801449626192
Cholesterol (mg),"Sugars, total (g)",0.015462704830148864
"Fatty acids, total saturated 18:4 (g)","Carbohydrate, by difference (g)",0.015454919648400418
"Manganese, Mn (mg)","Cryptoxanthin, beta (g)",0.015446462574814397
"Fatty acids, total polyunsaturated (g)","Fatty acids, total polyunsaturated 22:1 t (g)",0.01544512520221926
"Fatty acids, total polyunsaturated 17:0 (g)",Starch (g),0.015444097336802845
"Fatty acids, total trans-polyenoic 13:0 (g)",Betaine (mg),0.015429688922270715
"Cryptoxanthin, beta (g)","Tocopherol, gamma (mg)",0.015425057686010112
Lycopene (g),"Fatty acids, total saturated 8:0 (g)",0.015412186435996218
"Fatty acids, total saturated 14:1 (g)","Carotene, beta (g)",0.015395979640163308
"Fatty acids, total trans-polyenoic 20:4 n-6 (g)","Fatty acids, total polyunsaturated 20:2 n-6 c,c (g)",0.015389953674716067
Threonine (g),"Fatty acids, total trans-polyenoic 13:0 (g)",0.015378756300236726
"Cryptoxanthin, beta (g)","Fatty acids, total polyunsaturated 18:1 t (g)",0.01537540471893654
"Tocotrienol, delta (mg)","Fatty acids, total polyunsaturated 15:0 (g)",0.015363985216847726
"Fatty acids, total saturated 12:0 (g)","Carotene, alpha (g)",0.01534255558579789
"Fatty acids, total polyunsaturated 18:1 t (g)","Tocotrienol, delta (mg)",0.0152977733191529
"Fatty acids, total trans-polyenoic 13:0 (g)","Cryptoxanthin, beta (g)",0.015294825743321331
"Fatty acids, total trans-polyenoic 20:3 n-3 (g)","Carotene, alpha (g)",0.015294510712906736
"Fatty acids, total polyunsaturated 20:3 undifferentiated (g)","Fatty acids, total saturated 12:0 (g)",0.01528163279234825
"Fatty acids, total trans-polyenoic 13:0 (g)",Histidine (g),0.01527641022588167
"Tocotrienol, delta (mg)","Fatty acids, total polyunsaturated 22:1 c (g)",0.015269406312349293
"Vitamin B-12, added (g)",Protein (g),0.015256946030011728
"Vitamin C, total ascorbic acid (mg)","Fatty acids, total polyunsaturated 18:1 c (g)",0.015216172041777425
"Fatty acids, total trans-polyenoic 20:3 n-6 (g)","Fatty acids, total saturated 12:0 (g)",0.015213504655404034
"Fatty acids, total trans-polyenoic 18:3 n-3 c,c,c (ALA) (g)","Carotene, beta (g)",0.01519299069676229
Theobromine (mg),Lactose (g),0.015191893021673297
"Folate, total (g)","Tocopherol, delta (mg)",0.01518680832885917
"Fatty acids, total saturated 22:5 n-3 (DPA) (g)",Vitamin E (alpha-tocopherol) (mg),0.015160909760250387
"Manganese, Mn (mg)",Retinol (g),0.015122556066070986
"Fatty acids, total polyunsaturated 18:3 n-6 c,c,c (g)","Cryptoxanthin, beta (g)",0.01512094871933922
Caffeine (mg),"Fatty acids, total saturated 18:0 (g)",0.015109863340668175
Vitamin K (phylloquinone) (g),"Cryptoxanthin, beta (g)",0.01510569907136313
"Tocotrienol, gamma (mg)","Vitamin C, total ascorbic acid (mg)",0.015099247547636868
"Fatty acids, total saturated 20:1 (g)","Fatty acids, total saturated 8:0 (g)",0.015093340515685309
"Fatty acids, total saturated 12:0 (g)","Fatty acids, total polyunsaturated 17:0 (g)",0.015049132866818443
Serine (g),"Fatty acids, total trans-polyenoic 13:0 (g)",0.015048360296845434
"Fatty acids, total saturated 18:0 (g)",Theobromine (mg),0.01504128176109745
Beta-sitosterol (mg),Adjusted Protein (g),0.015008553118995271
"Fatty acids, total trans-polyenoic 18:3 n-3 c,c,c (ALA) (g)","Fatty acids, total saturated 12:0 (g)",0.014997785931957431
"Potassium, K (mg)","Fatty acids, total saturated 18:4 (g)",0.01495242561319137
Sucrose (g),"Folate, food (g)",0.014930107702997707
"Fatty acids, total saturated 22:5 n-3 (DPA) (g)","Fatty acids, total saturated 22:0 (g)",0.014923237248142533
"Fatty acids, total polyunsaturated 17:1 (g)",Glucose (dextrose) (g),0.01491536325501761
"Fatty acids, total saturated 22:0 (g)","Fatty acids, total saturated 8:0 (g)",0.014900623339712675
"Sugars, total (g)","Tocopherol, delta (mg)",0.014892121153881584
"Fatty acids, total polyunsaturated 18:1 t (g)","Fatty acids, total trans-polyenoic 13:0 (g)",0.014886909433593736
"Vitamin B-12, added (g)","Choline, total (mg)",0.014872473138994046
"Fatty acids, total trans-polyenoic (g)",Sucrose (g),0.014860877601593178
Vitamin D3 (cholecalciferol) (g),"Fatty acids, total saturated 22:6 n-3 (DHA) (g)",0.014843580622588734
Vitamin E (alpha-tocopherol) (mg),"Fatty acids, total polyunsaturated 22:1 t (g)",0.01483704999991303
"Fatty acids, total saturated 18:1 undifferentiated (g)","Fatty acids, total trans-polyenoic 20:4 n-6 (g)",0.014833693179964228
Fructose (g),Menaquinone-4 (g),0.01483299386069509
Phytosterols (mg),"Fatty acids, total polyunsaturated 22:1 c (g)",0.014819597598017292
"Fatty acids, total trans-polyenoic 20:3 n-6 (g)",Fructose (g),0.014818994050243985
"Carotene, alpha (g)",Lactose (g),0.014802032696583213
"Vitamin C, total ascorbic acid (mg)","Fatty acids, total saturated 22:1 undifferentiated (g)",0.014792019531834304
"Fatty acids, total saturated 22:1 undifferentiated (g)","Folate, DFE (g)",0.014788526804835563
Starch (g),"Fatty acids, total trans-monoenoic (g)",0.014787270718594446
"Fatty acids, total saturated 18:3 undifferentiated (g)","Fatty acids, total trans-polyenoic 18:3i (g)",0.014786219719718241
"Fatty acids, total saturated (g)",Maltose (g),0.01478211416818272
Theobromine (mg),"Fatty acids, total saturated 18:2 undifferentiated (g)",0.014757064508046713
Niacin (mg),"Fatty acids, total trans-polyenoic 13:0 (g)",0.01474511107264161
"Fatty acids, total saturated 18:4 (g)",Arginine (g),0.01472317781412759
"Fatty acids, total saturated 8:0 (g)",Campesterol (mg),0.014684696625373648
"Cryptoxanthin, beta (g)","Tocopherol, beta (mg)",0.014678384221669586
Fructose (g),Folic acid (g),0.014678079942496916
Vitamin K (phylloquinone) (g),"Fatty acids, total trans-polyenoic 20:3 n-3 (g)",0.014669600391302435
"Fatty acids, total trans-polyenoic 13:0 (g)",Leucine (g),0.014667863728890918
Galactose (g),"Fatty acids, total trans-polyenoic 22:4 (g)",0.014667823816966165
"Fiber, total dietary (g)","Fatty acids, total polyunsaturated 24:1 c (g)",0.014662686724542353
"Fatty acids, total trans-polyenoic 13:0 (g)",Methionine (g),0.014662386121122452
"Fatty acids, total trans-polyenoic 13:0 (g)",Lysine (g),0.014660526088523619
Hydroxyproline (g),"Fatty acids, total trans-polyenoic 22:4 (g)",0.01465860440630514
Valine (g),"Fatty acids, total trans-polyenoic 13:0 (g)",0.014634990335232457
Galactose (g),"Fatty acids, total polyunsaturated 20:3 undifferentiated (g)",0.01459882544501639
"Fatty acids, total monounsaturated (g)","Fatty acids, total trans-polyenoic 20:4 n-6 (g)",0.014582263224270732
"Carotene, alpha (g)","Fatty acids, total saturated 4:0 (g)",0.014557511894501432
Vitamin K (phylloquinone) (g),"Fatty acids, total polyunsaturated 18:3 n-6 c,c,c (g)",0.014526297536475764
"Fatty acids, total saturated 12:0 (g)",Lycopene (g),0.014517794055584173
"Fatty acids, total saturated 10:0 (g)","Fatty acids, total trans-polyenoic 18:3i (g)",0.014487847434993142
"Fatty acids, total trans (g)","Sodium, Na (mg)",0.014469637565728137
"Cryptoxanthin, beta (g)","Fatty acids, total trans-polyenoic 18:3 n-3 c,c,c (ALA) (g)",0.01443875839955881
Lycopene (g),Vitamin D (D2 + D3) (g),0.014434926231999885
Folic acid (g),Galactose (g),0.014422388429876615
Phenylalanine (g),"Fatty acids, total trans-polyenoic 13:0 (g)",0.014421458319442854
Dihydrophylloquinone (g),Tyrosine (g),0.014407600329458859
Glycine (g),Dihydrophylloquinone (g),0.014377759086990464
Starch (g),"Fatty acids, total polyunsaturated 18:1 t (g)",0.014341857002582812
"Cryptoxanthin, beta (g)","Fatty acids, total saturated 14:1 (g)",0.01433052008823802
"Fatty acids, total polyunsaturated 18:2 n-6 c,c (g)","Cryptoxanthin, beta (g)",0.014324206575583358
"Fatty acids, total saturated 8:0 (g)","Fatty acids, total trans-polyenoic 18:1-11 t (18:1t n-7) (g)",0.014320160747162136
"Fatty acids, total saturated 8:0 (g)","Tocopherol, gamma (mg)",0.014311361919990048
"Fatty acids, total trans-polyenoic 13:0 (g)",Tyrosine (g),0.014309879589274982
"Fatty acids, total polyunsaturated 16:1 t (g)",Starch (g),0.014306480049980853
"Fatty acids, total saturated 18:4 (g)",Pantothenic acid (mg),0.014298764050090666
Lutein + zeaxanthin (g),Lactose (g),0.014295612585710727
"Manganese, Mn (mg)","Fatty acids, total trans (g)",0.014275414582351079
"Fatty acids, total trans-polyenoic 13:0 (g)",Protein (g),0.014229884031047024
"Fatty acids, total polyunsaturated 18:3 n-6 c,c,c (g)","Sodium, Na (mg)",0.014228636532297305
"Fatty acids, total polyunsaturated 17:1 (g)",Lycopene (g),0.014217404707767743
"Copper, Cu (mg)","Fatty acids, total trans-polyenoic 18:3i (g)",0.014213685136150041
"Fatty acids, total polyunsaturated 18:2 n-6 c,c (g)",Vitamin K (phylloquinone) (g),0.014203257382284793
"Fatty acids, total saturated 4:0 (g)","Fatty acids, total polyunsaturated 16:1 c (g)",0.014201259368678897
"Fatty acids, total polyunsaturated 24:1 c (g)","Fatty acids, total trans-polyenoic 13:0 (g)",0.014178357394076304
"Fatty acids, total polyunsaturated 24:1 c (g)","Vitamin C, total ascorbic acid (mg)",0.014143180111804172
"Fluoride, F (g)","Fatty acids, total saturated 8:0 (g)",0.014137897484566288
Cholesterol (mg),Beta-sitosterol (mg),0.014127813730958144
"Fatty acids, total saturated 18:4 (g)",Lysine (g),0.014102114250996601
"Fatty acids, total saturated 18:0 (g)",Maltose (g),0.014076325001563231
Maltose (g),"Fatty acids, total saturated 18:1 undifferentiated (g)",0.014065942287830483
"Fatty acids, total polyunsaturated 22:1 t (g)","Calcium, Ca (mg)",0.014062434010652596
"Fiber, total dietary (g)","Fatty acids, total trans-polyenoic 20:3 n-6 (g)",0.014046781573619155
"Calcium, Ca (mg)","Fatty acids, total saturated 20:5 n-3 (EPA) (g)",0.014042829078444915
"Fatty acids, total saturated 22:5 n-3 (DPA) (g)","Fatty acids, total polyunsaturated 17:1 (g)",0.014038608639329101
"Fatty acids, total saturated 22:5 n-3 (DPA) (g)","Fatty acids, total saturated 20:0 (g)",0.014030907618491094
"Fatty acids, total polyunsaturated 20:2 n-6 c,c (g)",Galactose (g),0.014020754285550613
"Fatty acids, total trans-polyenoic 13:0 (g)","Phosphorus, P (mg)",0.014020683616472724
"Cryptoxanthin, beta (g)","Fatty acids, total saturated 20:0 (g)",0.014001222071112731
Retinol (g),Lycopene (g),0.014000703356286026
"Fatty acids, total polyunsaturated 16:1 t (g)","Fiber, total dietary (g)",0.013990331347268327
"Cryptoxanthin, beta (g)","Fatty acids, total polyunsaturated 18:1 c (g)",0.013981601726304966
"Fatty acids, total saturated 20:0 (g)","Fatty acids, total saturated 12:0 (g)",0.013976253498244202
"Carotene, alpha (g)",Cholesterol (mg),0.013975432813038053
"Fatty acids, total polyunsaturated 16:1 t (g)","Cryptoxanthin, beta (g)",0.013971183563021204
"Fatty acids, total saturated 12:0 (g)",Campesterol (mg),0.013966932178638716
Hydroxyproline (g),"Carbohydrate, by difference (g)",0.013958035529649098
Water (g),"Fatty acids, total polyunsaturated 22:1 t (g)",0.013954465202737713
"Sodium, Na (mg)","Fatty acids, total polyunsaturated 17:0 (g)",0.013927215711286842
Vitamin D2 (ergocalciferol) (g),"Potassium, K (mg)",0.01392313254371668
"Fatty acids, total polyunsaturated 16:1 c (g)",Lactose (g),0.013886344006212201
"Fatty acids, total saturated 22:6 n-3 (DHA) (g)","Zinc, Zn (mg)",0.013844913486439618
"Copper, Cu (mg)","Fatty acids, total polyunsaturated 22:1 c (g)",0.013839203012795351
"Fatty acids, total trans-polyenoic 20:3 n-6 (g)","Fatty acids, total trans-polyenoic 18:3i (g)",0.013826073532196146
"Fatty acids, total polyunsaturated 17:1 (g)","Fiber, total dietary (g)",0.013813905926458763
Lutein + zeaxanthin (g),Hydroxyproline (g),0.013809650800986163
"Fiber, total dietary (g)","Fatty acids, total saturated 22:1 undifferentiated (g)",0.013799428254426718
"Fatty acids, total polyunsaturated 22:1 c (g)","Fatty acids, total saturated 22:5 n-3 (DPA) (g)",0.013783909632672058
"Fatty acids, total trans-polyenoic 13:0 (g)",Isoleucine (g),0.013776681034059499
Maltose (g),"Fatty acids, total monounsaturated (g)",0.013773848546083493
"Carotene, beta (g)","Fatty acids, total saturated 22:0 (g)",0.013757316945575181
Vitamin B-6 (mg),"Fatty acids, total saturated 18:4 (g)",0.013751722824062469
"Fatty acids, total trans-polyenoic 15:1 (g)","Fatty acids, total saturated 10:0 (g)",0.013742892004230758
"Vitamin A, RAE (g)","Fatty acids, total trans-polyenoic 18:1-11 t (18:1t n-7) (g)",0.013731105950580066
"Fatty acids, total polyunsaturated 24:1 c (g)","Vitamin A, IU (IU)",0.013728741032908406
"Tocotrienol, beta (mg)","Vitamin C, total ascorbic acid (mg)",0.01372510841251136
Glucose (dextrose) (g),"Fatty acids, total trans-polyenoic 22:4 (g)",0.013699749433077887
"Fatty acids, total saturated 22:0 (g)",Sucrose (g),0.013695779548875523
"Fatty acids, total saturated 18:3 undifferentiated (g)",Stigmasterol (mg),0.01368288741817823
Theobromine (mg),Total lipid (fat) (g),0.013679243791070638
"Fatty acids, total polyunsaturated 22:1 t (g)","Fatty acids, total saturated 18:3 undifferentiated (g)",0.013665141942178877
"Carotene, alpha (g)","Fatty acids, total saturated 20:4 undifferentiated (g)",0.01366168554461402
Caffeine (mg),Stigmasterol (mg),0.013648250228491749
Lycopene (g),Vitamin D (IU),0.013644870119134433
Retinol (g),Folic acid (g),0.013644280613526362
"Vitamin B-12, added (g)",Pantothenic acid (mg),0.013641101038269227
"Fatty acids, total saturated 18:4 (g)",Histidine (g),0.013638833938543333
Lycopene (g),Starch (g),0.013631797641281161
Menaquinone-4 (g),Galactose (g),0.013616790209645808
"Fatty acids, total polyunsaturated 20:2 n-6 c,c (g)","Fatty acids, total saturated 12:0 (g)",0.013592343949629125
"Tocotrienol, beta (mg)","Fatty acids, total saturated 16:1 undifferentiated (g)",0.013555686661593801
"Tocopherol, delta (mg)",Lactose (g),0.013550941228161691
"Fatty acids, total saturated 14:0 (g)",Starch (g),0.013543872069930513
"Carotene, alpha (g)","Fatty acids, total saturated 16:1 undifferentiated (g)",0.013537337569220946
Sucrose (g),"Tocotrienol, gamma (mg)",0.013525314521817959
Folic acid (g),"Fatty acids, total trans-polyenoic 18:3 n-3 c,c,c (ALA) (g)",0.01351800942345358
"Fatty acids, total trans-polyenoic 13:0 (g)",Glutamic acid (g),0.013514588900950315
"Sodium, Na (mg)","Fatty acids, total polyunsaturated 15:0 (g)",0.013502937340968977
"Fatty acids, total saturated 14:1 (g)","Tocotrienol, delta (mg)",0.013492646132815422
"Fatty acids, total saturated 20:5 n-3 (EPA) (g)",Vitamin E (alpha-tocopherol) (mg),0.013481764042999169
"Fatty acids, total saturated 6:0 (g)","Fatty acids, total trans-polyenoic 20:4 n-6 (g)",0.01344092273963023
"Fluoride, F (g)","Fatty acids, total saturated 20:1 (g)",0.013401451378215303
"Vitamin B-12, added (g)","Copper, Cu (mg)",0.013401397470848625
"Tocopherol, delta (mg)","Folate, food (g)",0.013389752257810928
Galactose (g),"Fatty acids, total polyunsaturated 17:1 (g)",0.013381249785010254
Starch (g),"Fatty acids, total polyunsaturated 15:0 (g)",0.013354503719482727
"Fatty acids, total trans-polyenoic 18:1-11 t (18:1t n-7) (g)","Carbohydrate, by difference (g)",0.013333105194975966
"Fatty acids, total saturated 10:0 (g)",Maltose (g),0.013330771936393822
Lutein + zeaxanthin (g),Sucrose (g),0.013323714203151002
"Fatty acids, total polyunsaturated 17:1 (g)","Fatty acids, total saturated 12:0 (g)",0.01331679193092764
"Carotene, alpha (g)","Fatty acids, total polyunsaturated 18:2 t not further defined (g)",0.013291667553235671
"Fatty acids, total trans-polyenoic 22:4 (g)","Fatty acids, total saturated 8:0 (g)",0.013278739166553031
"Carotene, beta (g)","Fatty acids, total saturated 20:1 (g)",0.01327420690863087
Vitamin D2 (ergocalciferol) (g),Water (g),0.013272990262534286
"Folate, total (g)","Fatty acids, total saturated 22:5 n-3 (DPA) (g)",0.01326625973175715
Vitamin K (phylloquinone) (g),"Tocotrienol, beta (mg)",0.013254905858155022
"Sodium, Na (mg)","Vitamin A, RAE (g)",0.013253484841334737
"Folate, DFE (g)",Galactose (g),0.013242701251878508
Menaquinone-4 (g),"Vitamin C, total ascorbic acid (mg)",0.01323713375423526
"Fatty acids, total saturated 18:4 (g)",Vitamin B-12 (g),0.0132272808743679
"Fatty acids, total trans-polyenoic 13:0 (g)",Pantothenic acid (mg),0.013226266822901034
"Fatty acids, total trans-polyenoic 18:3i (g)","Fatty acids, total trans-polyenoic 20:3 n-3 (g)",0.01322487711428842
"Fatty acids, total trans-polyenoic 13:0 (g)",Cystine (g),0.013224152389523257
"Tocotrienol, beta (mg)","Fatty acids, total trans-monoenoic (g)",0.013219506188534388
Vitamin D3 (cholecalciferol) (g),Lycopene (g),0.013208438171305846
"Fatty acids, total trans-polyenoic 18:1-11 t (18:1t n-7) (g)",Retinol (g),0.0132070297104067
"Tocopherol, delta (mg)","Carotene, beta (g)",0.013176118432052278
"Tocotrienol, gamma (mg)","Fatty acids, total saturated 14:0 (g)",0.013173258967336947
